Date, Close/Last, Volume, Open, High, Low
04/06/2020, $14.23, 413074, $14.22, $14.805, $13.71
04/03/2020, $13.96, 146939, $14.99, $15.11, $13.92
04/02/2020, $14.9, 170792, $15.4, $15.87, $14.62
04/01/2020, $15.72, 189410, $15.95, $16.38, $15.3589
03/31/2020, $16.15, 237966, $17.82, $17.85, $16.02
03/30/2020, $17.09, 380166, $16.26, $17.935, $15.96
03/27/2020, $15.51, 260382, $14.04, $15.75, $13.6044
03/26/2020, $14.24, 247461, $14.81, $15.3884, $14.02
03/25/2020, $14.74, 181309, $15.05, $15.67, $14.58
03/24/2020, $14.99, 150098, $14.6, $15.13, $13.93
03/23/2020, $14.1, 269179, $15.93, $16.68, $14.05
03/20/2020, $15.46, 272826, $15.34, $16.74, $15.34
03/19/2020, $15.17, 247405, $16.62, $18.1526, $14.91
03/18/2020, $16.17, 340283, $15.13, $16.67, $14.92
03/17/2020, $15.63, 189046, $14.35, $16.1, $14.08
03/16/2020, $14.07, 195670, $15.47, $16, $14.005
03/13/2020, $16.78, 278344, $16.21, $17.1, $15.61
03/12/2020, $15.71, 200325, $16.4, $17.55, $15.67
03/11/2020, $17.33, 143620, $18.43, $18.5, $16.92
03/10/2020, $18.83, 337114, $19.62, $19.94, $18.23
03/09/2020, $19.3, 176194, $20.03, $20.32, $19.1
03/06/2020, $20.6, 153946, $20.49, $20.94, $20.17
03/05/2020, $20.9, 161164, $20.35, $21.12, $20.24
03/04/2020, $20.3, 182311, $19.7, $20.37, $19.45
03/03/2020, $19.55, 200297, $20.23, $20.4, $19.33
03/02/2020, $20.3, 167323, $21.25, $21.377, $20.08
02/28/2020, $21.15, 192684, $20.5, $21.19, $20.5
02/27/2020, $20.83, 202694, $21.09, $21.5, $20.64
02/26/2020, $21.1, 186770, $20.48, $21.23, $20.32
02/25/2020, $20.31, 204501, $20.5, $20.7, $20.19
02/24/2020, $20.53, 137458, $21.45, $21.56, $20.37
02/21/2020, $21.9, 182671, $21.94, $22.02, $21.33
02/20/2020, $22.2, 359704, $24.5, $25, $21.25
02/19/2020, $25, 153271, $24.46, $25.46, $24.46
02/18/2020, $24.42, 44280, $24.55, $24.82, $24.41
02/14/2020, $24.55, 63738, $24.82, $24.82, $24.45
02/13/2020, $24.75, 38514, $24.52, $24.76, $24.38
02/12/2020, $24.41, 51950, $24.77, $24.77, $24.31
02/11/2020, $24.73, 77752, $24.56, $24.895, $24.43
02/10/2020, $24.53, 58786, $23.85, $24.56, $23.85
02/07/2020, $23.91, 45460, $24.4, $24.43, $23.74
02/06/2020, $24.55, 51495, $24.55, $24.66, $24.3
02/05/2020, $24.37, 115660, $24.57, $24.67, $23.825
02/04/2020, $24.36, 89535, $24.13, $24.53, $23.89
02/03/2020, $23.89, 59004, $23.81, $24.06, $23.76
01/31/2020, $23.67, 86353, $24.09, $24.11, $23.5
01/30/2020, $24.15, 103236, $24.09, $24.27, $23.82
01/29/2020, $24.27, 38954, $24.45, $24.46, $24.2194
01/28/2020, $24.46, 35225, $24.5, $24.6, $24.33
01/27/2020, $24.42, 40887, $24.21, $24.65, $24.04
01/24/2020, $24.49, 62651, $24.61, $24.77, $24.23
01/23/2020, $24.45, 69438, $24.94, $24.94, $24.13
01/22/2020, $25.02, 49282, $25.52, $25.7, $24.9
01/21/2020, $25.48, 187315, $25.5, $25.63, $25.3
01/17/2020, $25.69, 84017, $25.99, $25.99, $25.41
01/16/2020, $25.74, 105925, $25.66, $26.11, $25.65
01/15/2020, $25.62, 38521, $25.24, $25.63, $25.23
01/14/2020, $25.31, 47251, $25.12, $25.36, $24.88
01/13/2020, $25.17, 39109, $25.15, $25.25, $25
01/10/2020, $25.2, 60778, $25.06, $25.22, $24.7038
01/09/2020, $25.08, 54690, $25.21, $25.48, $25.05
01/08/2020, $25.28, 66025, $25.2, $25.32, $25.02
01/07/2020, $25.32, 94370, $25.71, $26.04, $25.27
01/06/2020, $25.69, 77603, $25.34, $25.73, $25.16
01/03/2020, $25.43, 81847, $25.06, $25.51, $25
01/02/2020, $25.27, 74309, $25.62, $25.62, $25
12/31/2019, $25.6, 59746, $25.69, $25.92, $25.5235
12/30/2019, $25.73, 68340, $25.7, $25.85, $25.27
12/27/2019, $25.68, 62508, $25.79, $25.85, $25.57
12/26/2019, $25.78, 44071, $26.31, $26.31, $25.66
12/24/2019, $26.29, 34828, $26.23, $26.3, $26.07
12/23/2019, $26.22, 78182, $26.31, $26.39, $25.9
12/20/2019, $26.36, 172646, $26.67, $26.79, $26.21
12/19/2019, $26.74, 82645, $27.23, $27.23, $26.55
12/18/2019, $27.2, 84521, $27.52, $27.52, $26.85
12/17/2019, $27.33, 251296, $27.65, $27.67, $26.91
12/16/2019, $27.72, 139688, $28.39, $28.5, $27.5
12/13/2019, $28.26, 99413, $28.07, $28.28, $27.71
12/12/2019, $27.62, 81624, $27.41, $27.8, $27.34
12/11/2019, $27.48, 96228, $27.2, $27.65, $26.98
12/10/2019, $27.08, 117011, $27.05, $27.53, $26.54
12/09/2019, $27, 153813, $26.15, $27.14, $26.15
12/06/2019, $26.06, 227858, $26.5, $26.71, $25.94
12/05/2019, $26.33, 135383, $26.64, $26.66, $25.89
12/04/2019, $26.49, 221216, $25.68, $26.89, $25.5307
12/03/2019, $25.4, 218969, $24.65, $25.69, $24.53
12/02/2019, $24.35, 78648, $24.08, $24.42, $23.89
11/29/2019, $24.05, 51731, $23.68, $24.26, $23.68
11/27/2019, $23.75, 94652, $24.05, $24.25, $23.73
11/26/2019, $24.05, 81712, $24.02, $24.21, $23.86
11/25/2019, $24.04, 57094, $23.86, $24.335, $23.71
11/22/2019, $23.68, 46815, $24.06, $24.06, $23.67
11/21/2019, $23.99, 182256, $24.31, $24.345, $23.95
11/20/2019, $24.2, 125233, $24.06, $24.33, $24
11/19/2019, $24.13, 107054, $24.2, $24.35, $24.12
11/18/2019, $24.37, 48928, $24.3, $24.42, $24.141
11/15/2019, $24.31, 46903, $24.65, $24.65, $24.21
11/14/2019, $24.5, 63003, $24.45, $24.75, $24.28
11/13/2019, $24.4, 35442, $24.62, $24.66, $24.27
11/12/2019, $24.71, 59377, $24.33, $24.79, $24.27
11/11/2019, $24.3, 62153, $24.66, $24.98, $24.23
11/08/2019, $24.87, 44642, $25.38, $25.5, $24.8
11/07/2019, $25.42, 105776, $24.99, $25.47, $24.68
11/06/2019, $25.04, 80348, $25.49, $25.765, $24.97
11/05/2019, $25.59, 65377, $25.81, $26.13, $25.55
11/04/2019, $25.63, 60168, $26.2, $26.25, $25.43
11/01/2019, $26.3, 86965, $25.76, $26.84, $25.685
10/31/2019, $25.76, 123757, $26.13, $26.27, $25.54
10/30/2019, $26.16, 187072, $26.6, $26.81, $25.63
10/29/2019, $26.56, 555026, $22.9, $26.7, $22.6
10/28/2019, $22.78, 173430, $22.02, $22.93, $22.02
10/25/2019, $22, 114879, $21.59, $22.13, $21.54
10/24/2019, $21.6, 74350, $21.6, $21.64, $21.4
10/23/2019, $21.46, 67066, $21.4, $21.53, $21.37
10/22/2019, $21.39, 39090, $21.63, $21.79, $21.38
10/21/2019, $21.68, 79854, $21.61, $21.94, $21.61
10/18/2019, $21.47, 85666, $21.39, $21.61, $21.39
10/17/2019, $21.49, 115578, $21.21, $21.64, $21.099
10/16/2019, $21.08, 74490, $21.42, $21.49, $21.07
10/15/2019, $21.49, 116425, $21.39, $21.605, $21.36
10/14/2019, $21.33, 66024, $21.09, $21.42, $21.08
10/11/2019, $21.3, 82561, $21.5, $21.74, $21.27
10/10/2019, $21.31, 113903, $20.95, $21.48, $20.895
10/09/2019, $20.86, 64195, $20.97, $21.53, $20.7
10/08/2019, $20.97, 226173, $20.54, $21.32, $20.51
10/07/2019, $20.62, 171914, $20.54, $20.986, $20.5
